timestamp,open,high,low,close,volume
2019-04-02,400.0000,400.0000,393.4500,397.1500,13010810
2019-04-01,401.4500,409.5500,401.4500,403.3500,12364807
2019-03-28,392.7500,401.9000,392.7500,400.5500,23117485
2019-03-27,395.4000,398.4500,390.1500,393.2000,17950017
2019-03-26,384.9500,395.5000,383.4000,394.1000,14063632
2019-03-25,387.9500,387.9500,382.5000,383.5000,12345034
2019-03-22,394.4500,396.3000,390.0000,391.8000,17409249
2019-03-20,397.6000,398.1500,392.2000,392.9000,14181408
2019-03-19,398.4000,400.9500,393.9000,398.4000,11670392
2019-03-18,396.2500,399.9000,393.5000,398.0500,21220626
2019-03-15,388.8500,398.2500,388.1000,395.3000,31466545
2019-03-14,392.0000,393.0000,386.8000,387.9000,13182462
2019-03-13,387.9000,393.2500,384.3000,391.9000,19574619
2019-03-12,378.0000,389.0000,377.3500,388.2000,37108265
2019-03-11,371.8000,378.4000,370.0000,375.8500,11449587
2019-03-08,369.8000,373.4000,367.6500,370.6000,16143455
2019-03-07,371.5000,374.0000,368.5000,370.8000,15355303
2019-03-06,365.2500,372.8500,365.2500,371.9500,31436190
2019-03-05,355.0000,364.1500,352.8000,363.2500,17638277
2019-03-01,352.0500,355.0000,350.6500,354.2500,14190221
2019-02-28,348.4500,351.7500,345.0000,350.1500,18347113
2019-02-27,351.0000,354.7000,343.3000,345.5500,17325417
2019-02-26,350.0000,352.7000,346.6000,348.2000,18096382
2019-02-25,353.0500,357.4500,353.0500,355.6000,10344411
2019-02-22,351.4000,354.1000,351.3000,352.0500,10997730
2019-02-21,346.8000,354.9500,346.2500,351.3000,18631331
2019-02-20,345.0000,347.6000,342.3500,345.2000,9474758
2019-02-19,339.1000,350.4000,339.1000,343.2500,14384763
2019-02-18,342.2000,343.0000,337.5500,338.7500,10601490
2019-02-15,344.0500,347.7500,340.6000,342.1500,20316848
2019-02-14,339.8500,346.8500,336.1500,343.9500,15172596
2019-02-12,349.0000,352.0000,343.2500,344.3000,14924394
2019-02-11,354.6000,354.7000,349.0500,350.0500,9419635
2019-02-08,356.9000,358.4000,350.7500,355.1000,9308651
2019-02-07,359.1000,361.8000,356.5000,358.6500,10247434
2019-02-06,353.6000,361.9000,353.2000,359.3000,15396216
2019-02-05,354.6000,356.1000,348.8500,352.6500,12197243
2019-02-04,351.0000,356.9000,346.0000,354.5500,17039321
2019-02-01,364.5000,364.9000,348.7500,354.6500,25605469
2019-01-31,372.7000,376.6500,354.1000,364.4500,85917249
2019-01-30,351.0000,368.6000,351.0000,365.9000,39400056
2019-01-29,342.9500,350.1000,341.3500,346.8500,20738442
2019-01-28,353.2000,354.9000,336.6500,343.5500,34362360
2019-01-25,362.3500,364.6500,354.5500,357.2000,22978238
2019-01-24,366.6000,368.5000,361.7500,364.8000,17521254
2019-01-23,368.8000,373.7000,366.4500,367.4000,9726450
2019-01-22,370.5500,372.5000,366.1000,369.0500,14756076
2019-01-21,373.0000,376.1500,370.6000,371.7000,8908581
2019-01-18,374.6000,376.4000,370.3500,372.0000,12212121
2019-01-17,376.0000,377.9500,372.8000,374.6000,13171721
2019-01-16,372.0500,379.7500,372.0500,375.3000,15106484
