timestamp,open,high,low,close,volume
2019-04-02,383.0000,386.0000,377.5000,379.7000,1824471
2019-04-01,380.9500,386.5000,378.8000,383.6500,2095873
2019-03-28,368.8500,382.6500,366.3000,381.3000,5909606
2019-03-27,367.2000,371.7000,364.2000,366.3000,2965654
2019-03-26,361.3500,369.8500,361.3500,368.6000,2657710
2019-03-25,358.9000,363.0000,353.1500,361.3500,3162063
2019-03-22,359.6000,362.0000,355.3000,360.7500,3229387
2019-03-20,367.0000,367.5500,359.5000,360.6000,2925322
2019-03-19,370.0000,372.0000,362.5000,365.7500,1933040
2019-03-18,365.0500,375.8000,365.0500,369.0000,3037029
2019-03-15,366.2500,368.9500,361.5000,367.1000,3057825
2019-03-14,367.0000,369.2000,360.2000,366.0000,1775804
2019-03-13,361.4500,369.4000,357.8000,367.1500,3888377
2019-03-12,352.5500,365.1500,351.6000,361.0500,5386817
2019-03-11,343.2000,352.9000,342.1500,351.3000,2918059
2019-03-08,340.9000,342.9500,338.1000,342.1500,2265000
2019-03-07,338.0000,342.5000,335.0000,340.9000,3047318
2019-03-06,342.5000,349.2000,334.0500,337.0500,7949482
2019-03-05,333.2500,340.5000,330.5000,339.2500,5098498
2019-03-01,328.8000,334.8000,327.0000,333.2000,4756894
2019-02-28,328.7000,329.7000,325.1500,325.8500,5059506
2019-02-27,326.5500,332.3000,322.6000,325.2500,5738757
2019-02-26,324.0000,326.5000,315.7500,323.5000,14243781
2019-02-25,329.0000,339.5500,320.6000,324.5500,21795407
2019-02-22,353.5500,358.6000,352.7000,354.3000,1719606
2019-02-21,352.1000,359.2500,350.8000,355.7500,4089677
2019-02-20,342.0000,356.3500,340.9500,354.7500,4885571
2019-02-19,347.5000,348.5000,337.5500,339.5500,3300497
2019-02-18,348.0000,352.9000,345.5500,347.3000,6875440
2019-02-15,347.5500,352.9000,347.3000,350.1500,7728519
2019-02-14,342.0000,352.2000,340.0500,349.1000,6612759
2019-02-12,328.8000,329.9500,323.2500,326.8000,4496913
2019-02-11,332.9500,333.9500,318.4000,328.8000,3783848
2019-02-08,333.0000,336.5000,328.0000,331.5000,2915806
2019-02-07,330.5500,336.3500,322.6000,332.3500,4871712
2019-02-06,338.8000,341.8000,318.8500,330.3500,6687853
2019-02-05,333.1000,340.9500,330.7500,339.8000,3262960
2019-02-04,337.2500,338.8000,329.0500,335.6500,4517829
2019-02-01,339.9000,346.8000,333.3500,338.4500,3119675
2019-01-31,339.9000,341.7000,330.2000,338.6500,6403921
2019-01-30,349.0500,349.0500,335.6000,338.1500,7672859
2019-01-29,330.0000,354.6000,327.6000,349.2500,9816333
2019-01-28,374.9500,375.3500,292.1000,326.1000,15177384
2019-01-25,382.5000,383.7500,372.2500,373.8500,4760625
2019-01-24,386.0000,386.5000,377.6000,380.9500,3633336
2019-01-23,390.0000,392.0000,383.6000,385.2000,3653992
2019-01-22,393.4000,394.7000,387.1000,390.6000,3328908
2019-01-21,397.5000,402.7000,392.1000,396.2000,2563705
2019-01-18,396.5000,399.9500,392.2500,399.3000,3617922
2019-01-17,391.2000,395.4500,386.5000,394.5000,4156932
2019-01-16,385.3000,390.7000,379.2000,389.3000,2847403
2019-01-15,375.0000,386.0000,375.0000,385.1500,1965520
2019-01-14,377.0000,377.0000,372.4000,374.4500,927301
2019-01-11,380.3000,381.0000,375.1000,377.1500,1829555
2019-01-10,377.9500,381.8000,376.9500,380.2500,1286641
2019-01-09,382.0000,382.0000,373.3000,377.3000,1166498
2019-01-08,383.0000,383.0000,375.7500,378.7500,2154121
2019-01-07,385.0000,386.9500,379.3500,381.6500,1260331
2019-01-04,378.6500,383.9500,375.8500,382.1500,1669709
2019-01-03,382.4000,385.3000,376.6000,378.1000,1902063
2019-01-02,388.0000,388.9500,378.0000,381.3000,1506543
2019-01-01,386.3000,390.9000,384.0500,389.0000,1233249
2018-12-31,387.2000,389.9500,385.6500,387.7000,2062181
2018-12-28,384.9500,390.7500,384.0000,387.4000,3282766
2018-12-27,379.2500,385.8000,373.6500,384.0000,5043675
2018-12-26,360.2000,378.5000,357.5000,376.5500,4519020
2018-12-24,361.2500,366.7500,358.3000,361.1000,2268806
2018-12-21,374.3000,379.5000,359.1500,361.1000,10909545
2018-12-20,374.2000,376.8500,369.0000,375.1500,2746343
