,Stock Ticker,Date,Finding_Type,Discription
0,ABFRL.NSE,2019-04-22,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 220 Close Price : 220.1 $$ 2. Previous Candle Doji Formation , Open Price : 221.6 Close Price : 221.2 $$ 3. Latest Doji Formation inside previous candle $$ 4. Uptrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  223/216"
1,HINDUNILVR.NSE,2019-04-22,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 1740 Close Price : 1739.85 $$ 2. Previous Candle Doji Formation , Open Price : 1738.55 Close Price : 1739.9 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  1745/1729.25"
2,TITAN.NSE,2019-04-22,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 1125 Close Price : 1123.7 $$ 2. Previous Candle Doji Formation , Open Price : 1125.95 Close Price : 1125.4 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  1132/1113.5"
3,FRETAIL.NSE,2019-04-22,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 428 Close Price : 427.4 $$ 2. Previous Candle Doji Formation , Open Price : 430 Close Price : 430 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  435.95/422.45"
4,CIPLA.NSE,2019-04-22,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 560 Close Price : 561.1 $$ 2. Previous Candle Doji Formation , Open Price : 562 Close Price : 561.55 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  566.65/553.2"
5,BAJAJ-AUTO.NSE,2019-04-22,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 3055.5 Close Price : 3051.2 $$ 2. Previous Candle Doji Formation , Open Price : 3069 Close Price : 3069.5 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  3089.8999/3041.2"
6,ULTRACEMCO.NSE,2019-04-22,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 4279.7 Close Price : 4259.95 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 4259.95 Previous Day Close Price : 4255.05 $$ 5. Latest Candle Gap down  , Open Price : 4235 Previous Day Price : 4259.95 $$ 6. Uptrend confirmed ."
7,TITAN.NSE,2019-04-22,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1125.95 Close Price : 1125.4 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 1125.4 Previous Day Close Price : 1120.05 $$ 5. Latest Candle Gap down  , Open Price : 1125 Previous Day Price : 1125.4"
8,TVSMOTOR.NSE,2019-04-22,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 520.1 Close Price : 518.35 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 518.35 Previous Day Close Price : 516.9 $$ 5. Latest Candle Gap down  , Open Price : 517.45 Previous Day Price : 518.35 $$ 6. Uptrend confirmed ."
9,BAJAJ-AUTO.NSE,2019-04-22,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 3069 Close Price : 3069.5 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 3069 Previous Day Close Price : 3068.45 $$ 5. Latest Candle Gap down  , Open Price : 3055.5 Previous Day Price : 3069 $$ 6. Uptrend confirmed ."
10,ASIANPAINT.NSE,2019-04-22,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1464 Close Price : 1469.6 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 1464 Previous Day Close Price : 1459 $$ 5. Latest Candle Gap down  , Open Price : 1459.95 Previous Day Price : 1464"
11,PFIZER.NSE,2019-04-22,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 3222 Close Day 2 Price : 3221.55"
12,PIIND.NSE,2019-04-22,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 1026 Close Day 2 Price : 1026.35 $$ 4. Uptrend confirmed"
