,Stock Ticker,Date,Finding_Type,Discription
0,APOLLOTYRE.NSE,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 225 Previous Day Close Price : 224.05 $$ 4. Gap Up  Rejected , Close Price : 220.1 Previous Day Open Price : 223.45 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
1,BATAINDIA.NSE,2019-04-08,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1410 Close Price : 1415.6 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 1410 Previous Day Close Price : 1401.3 $$ 5. Latest Candle Gap down  , Open Price : 1401 Previous Day Price : 1410 $$ 6. Uptrend confirmed ."
2,HCLTECH.NSE,2019-04-08,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1090.35 Close Price : 1092.8 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 1095 Previous Day Price : 1092.8 $$ 5. Second/Doji Candle Gap down  , Price : 1092.8 Previous Day Close Price : 1098.05"
3,IBULHSGFIN.NSE,2019-04-08,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 903.5 Close Price : 903.05 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 903.05 Previous Day Close Price : 898.15 $$ 5. Latest Candle Gap down  , Open Price : 880 Previous Day Price : 903.05 $$ 6. Uptrend confirmed ."
4,MANAPPURAM.NSE,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 122.3 Previous Day Close Price : 121.15 $$ 4. Gap Up  Rejected , Close Price : 118.15 Previous Day Open Price : 118.55 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
5,SRF.NSE,2019-04-08,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 2500 Close Price : 2491.1 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 2491.1 Previous Day Close Price : 2484.9 $$ 5. Latest Candle Gap down  , Open Price : 2485.5 Previous Day Price : 2491.1 $$ 6. Uptrend confirmed ."
6,VEDL.NSE,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 194.1 Previous Day Close Price : 191.7 $$ 4. Gap Up  Rejected , Close Price : 186.65 Previous Day Open Price : 188.7 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
7,^NSEBANK,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 30201.5 Previous Day Close Price : 30084.65 $$ 4. Gap Up  Rejected , Close Price : 29845.301 Previous Day Open Price : 30002.85 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
8,^NSEI,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 11704.35 Previous Day Close Price : 11665.95 $$ 4. Gap Up  Rejected , Close Price : 11604.5 Previous Day Open Price : 11638.4 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
