CUMMINSIND.NSE,2019-04-30,BEARISH_ENGULFING, $$  Uptrend confirmed
GSKCONS.NSE,2019-04-30,BULLISH_ENGULFING,
PVR.NSE,2019-04-30,BULLISH_ENGULFING,
UPL.NSE,2019-04-30,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  975.25/958.55
EXIDEIND.NSE,2019-04-30,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  220.65/211.35
TATAPOWER.NSE,2019-04-30,DRAGONFLY_DOJI, $$ Downtrend confirmed .
IBULHSGFIN.NSE,2019-04-30,EVENING_STAR,
TATAGLOBAL.NSE,2019-04-30,EVENING_STAR, $$ Uptrend confirmed .
HCLTECH.NSE,2019-04-30,TWIZZER_BOTTOM,
SUNPHARMA.NSE,2019-04-30,TWIZZER_TOP, $$ Uptrend confirmed
ABCAPITAL.NSE,2019-04-30,TWIZZER_TOP,
BAJAJFINSV.NSE,2019-04-30,TWIZZER_TOP, $$ Uptrend confirmed
PNB.NSE,2019-04-30,TWIZZER_TOP,
^NSEI,2019-04-30,TWIZZER_TOP, $$ Uptrend confirmed
