,Stock Ticker,Date,Finding_Type,Discription
0,ADANIPOWER.NSE,2019-04-11,BULLISH_ENGULFING," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap Down  , Open Price : 48.95 Previous Day Close Price : 49.55 $$ 4. Gap Down  Rejected , Close Price : 50.45 Previous Day Open Price : 49.85 $$ 5. BULLISH ENGLUFING PATTERN FOUND ,  $$ 6. Downtrend confirmed"
1,BHARATFORG.NSE,2019-04-11,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 495.4 Close Price : 496.3 $$ 2. Small or no lower shadow  , Open Price : 495.4 low Price : 494.35 $$ 3. Long Upper Shadow   , Close Price : 496.3 High Price : 503.55"
2,COROMANDEL.NSE,2019-04-11,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 430.55 Previous Day Close Price : 424.4 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 443.1 Day High Price : 440.85 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 424.4 Day Low Price : 428.05 $$ 5. Downtrend confirmed"
3,GAIL.NSE,2019-04-11,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 338.4 Close Day 2 Price : 338.2 $$ 4. Downtrend confirmed"
4,IBULHSGFIN.NSE,2019-04-11,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 831 Close Price : 829.05 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 832.7 Previous Day Price : 831 $$ 5. Second/Doji Candle Gap down  , Price : 831 Previous Day Close Price : 831.75"
5,JSWENERGY.NSE,2019-04-11,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 72.9 Close Day 2 Price : 72.9 $$ 4. Uptrend confirmed"
6,LT.NSE,2019-04-11,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1370 Close Price : 1370.9 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 1371.65 Previous Day Price : 1370.9 $$ 5. Second/Doji Candle Gap down  , Price : 1370.9 Previous Day Close Price : 1375.2"
7,MFSL.NSE,2019-04-11,BULLISH_ENGULFING," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap Down  , Open Price : 416.9 Previous Day Close Price : 417.95 $$ 4. Gap Down  Rejected , Close Price : 436.75 Previous Day Open Price : 424 $$ 5. BULLISH ENGLUFING PATTERN FOUND ,  $$ 6. Downtrend confirmed"
8,NATIONALUM.NSE,2019-04-11,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 56.75 Close Price : 56.8 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 56.75 Previous Day Close Price : 56.45 $$ 5. Latest Candle Gap down  , Open Price : 56.4 Previous Day Price : 56.75 $$ 6. Uptrend confirmed ."
9,OIL.NSE,2019-04-11,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 180.25 Previous Day Close Price : 178.4 $$ 4. Gap Up  Rejected , Close Price : 176.9 Previous Day Open Price : 177.9 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
10,TITAN.NSE,2019-04-11,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 1106.95 Close Price : 1105.05 $$ 2. Small or no upper shadow  , Open Price : 1106.95 High Price : 1106.95 $$ 3. Long Lower Shadow   , Close Price : 1105.05 Low Price : 1090.1"
11,VOLTAS.NSE,2019-04-11,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 610 Close Day 2 Price : 610 $$ 4. Downtrend confirmed"



VOLTAS :-
