,Stock Ticker,Date,Finding_Type,Discription
0,BALKRISIND.NSE,2019-04-09,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 975.5 Close Price : 973.55 $$ 2. Small or no upper shadow  , Open Price : 975.5 High Price : 978 $$ 3. Long Lower Shadow   , Close Price : 973.55 Low Price : 959.55"
1,BPCL.NSE,2019-04-09,BULLISH_ENGULFING," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap Down  , Open Price : 346.5 Previous Day Close Price : 349.3 $$ 4. Gap Down  Rejected , Close Price : 356.3 Previous Day Open Price : 354.85 $$ 5. BULLISH ENGLUFING PATTERN FOUND ,  $$ 6. Downtrend confirmed"
2,CIPLA.NSE,2019-04-09,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 526.25 Previous Day Close Price : 525.35 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 536.5 Day High Price : 534.5 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 525.35 Day Low Price : 525.4 $$ 5. Downtrend confirmed"
3,ITC.NSE,2019-04-09,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 292.5 Close Day 2 Price : 292.45"
4,JUBLFOOD.NSE,2019-04-09,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 1428.95 Close Price : 1429.55 $$ 2. Small or no upper shadow  , Close Price : 1429.55 High Price : 1433 $$ 3. Long Lower Shadow  , Open Price : 1428.95 Low Price : 1405.5"
5,LICHSGFIN.NSE,2019-04-09,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 549.85 Close Price : 549.9 $$ 2. Small or no upper shadow  , Close Price : 549.9 High Price : 550.15 $$ 3. Long Lower Shadow  , Open Price : 549.85 Low Price : 542.1"
6,NBCC.NSE,2019-04-09,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 62.4 Close Price : 62.65 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 62.4 Previous Day Close Price : 61.95 $$ 5. Latest Candle Gap down  , Open Price : 62.3 Previous Day Price : 62.4"
7,SUNPHARMA.NSE,2019-04-09,BULLISH_ENGULFING," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap Down  , Open Price : 457.25 Previous Day Close Price : 462.2 $$ 4. Gap Down  Rejected , Close Price : 470.95 Previous Day Open Price : 464.6 $$ 5. BULLISH ENGLUFING PATTERN FOUND ,  $$ 6. Downtrend confirmed"
8,SYNGENE.NSE,2019-04-09,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 576.8 Close Price : 576.4 $$ 2. Small or no upper shadow  , Open Price : 576.8 High Price : 578.45 $$ 3. Long Lower Shadow   , Close Price : 576.4 Low Price : 570.2"
9,TATACHEM.NSE,2019-04-09,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 611.95 Close Day 2 Price : 612.35 $$ 4. Uptrend confirmed"
10,UPL.NSE,2019-04-09,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 943.5 Close Price : 944.65 $$ 2. Small or no upper shadow  , Close Price : 944.65 High Price : 945.85 $$ 3. Long Lower Shadow  , Open Price : 943.5 Low Price : 930"



NBCC        :- 61.04 Stoploss Sell
LICHSGFIN   :- must buy at 552
BPCL        :- must buy if positive

