,Stock Ticker,Date,Finding_Type,Discription
0,BAJAJFINSV.NSE,2019-04-23,BULLISH_HARAMI,
1,CIPLA.NSE,2019-04-23,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  575.95/556.6
2,HINDUNILVR.NSE,2019-04-23,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  1748/1730.1
3,CASTROLIND.NSE,2019-04-23,GRAVESTONE_DOJI,
4,AMARAJABAT.NSE,2019-04-23,GRAVESTONE_DOJI,
5,CIPLA.NSE,2019-04-23,GRAVESTONE_DOJI, $$  Uptrend confirmed .
6,ENGINERSIN.NSE,2019-04-23,GRAVESTONE_DOJI,
7,SRF.NSE,2019-04-23,MORNING_STAR,
8,BAJFINANCE.NSE,2019-04-23,TWIZZER_BOTTOM, $$  Downtrend confirmed
9,IBVENTURES.NSE,2019-04-23,TWIZZER_BOTTOM, $$  Downtrend confirmed
10,CROMPTON.NSE,2019-04-23,TWIZZER_BOTTOM,
11,NTPC.NSE,2019-04-23,TWIZZER_TOP, $$ Uptrend confirmed
