,Stock Ticker,Date,Finding_Type,Discription
0,SUNTV.NSE,2019-04-15,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 606 Previous Day Close Price : 602.45 $$ 4. Gap Up  Rejected , Close Price : 594.15 Previous Day Open Price : 602 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
1,TATAPOWER.NSE,2019-04-15,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 73.05 Close Price : 73.25 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 73.05 Previous Day Close Price : 72.7 $$ 5. Latest Candle Gap down  , Open Price : 73 Previous Day Price : 73.05 $$ 6. Uptrend confirmed ."
2,PVR.NSE,2019-04-15,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 1696.5 Close Price : 1699.45 $$ 2. Small or no lower shadow  , Open Price : 1696.5 low Price : 1694 $$ 3. Long Upper Shadow   , Close Price : 1699.45 High Price : 1717.65 $$ 4. Uptrend confirmed ."
3,HCLTECH.NSE,2019-04-15,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1088.8 Close Price : 1083.45 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 1089 Previous Day Price : 1088.8 $$ 5. Second/Doji Candle Gap down  , Price : 1088.8 Previous Day Close Price : 1088.85"
4,QUESS.NSE,2019-04-15,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 706.5 Close Price : 705.45 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 709.8 Previous Day Price : 706.5 $$ 5. Second/Doji Candle Gap down  , Price : 706.5 Previous Day Close Price : 707.65 $$ 6. Downtrend confirmed ."
5,SRF.NSE,2019-04-15,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 2442 Close Day 2 Price : 2443.6 $$ 4. Downtrend confirmed"
6,BALKRISIND.NSE,2019-04-15,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 950 Close Day 2 Price : 949.95"
7,PVR.NSE,2019-04-15,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 1696.5 Close Day 2 Price : 1696.45"
