,Stock Ticker,Date,Finding_Type,Discription
0,ASIANPAINT.NSE,2019-04-26,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  1460/1436
1,NATIONALUM.NSE,2019-04-26,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  53.6/52.45
2,UPL.NSE,2019-04-26,DRAGONFLY_DOJI,
3,RBLBANK.NSE,2019-04-26,DRAGONFLY_DOJI,
4,MANAPPURAM.NSE,2019-04-26,EVENING_STAR, $$ Uptrend confirmed .
5,POWERGRID.NSE,2019-04-26,GRAVESTONE_DOJI,
6,SYNGENE.NSE,2019-04-26,IN_OUT_IN, $$ 1. IN_OUT_IN pattern breakout confirmed above buy price : 591.2
7,WIPRO.NSE,2019-04-26,IN_OUT_IN, $$ 1. IN_OUT_IN pattern breakout confirmed above buy price : 291.45
8,CUMMINSIND.NSE,2019-04-26,MORNING_STAR,
9,TECHM.NSE,2019-04-26,TWIZZER_BOTTOM,
