,Stock Ticker,Date,Finding_Type,Discription
0,CUMMINSIND.NSE,2019-04-16,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 756.95 Previous Day Close Price : 750.95 $$ 4. Gap Up  Rejected , Close Price : 734.1 Previous Day Open Price : 748 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
1,WIPRO.NSE,2019-04-16,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 291.35 Previous Day Close Price : 287.7 $$ 4. Gap Up  Rejected , Close Price : 280.9 Previous Day Open Price : 285 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
2,HDFC.NSE,2019-04-16,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 2019.7 Previous Day Close Price : 2014.25 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 2034.9 Day High Price : 2034.3 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 2014.25 Day Low Price : 2016.1"
3,VEDL.NSE,2019-04-16,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 185.2 Close Price : 184.95 $$ 2. Previous Candle Doji Formation , Open Price : 184.9 Close Price : 184.7 $$ 3. Latest Doji Formation inside previous candle $$ 4. Uptrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  189.75/183.7"
4,GSKCONS.NSE,2019-04-16,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 7202 Close Price : 7206.75 $$ 2. Previous Candle Doji Formation , Open Price : 7191 Close Price : 7202.95 $$ 3. Latest Doji Formation inside previous candle $$ 4. Downtrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  7266.7002/7165"
5,PNB.NSE,2019-04-16,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 93.8 Close Price : 93.85 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 93.8 Previous Day Close Price : 93.35 $$ 5. Latest Candle Gap down  , Open Price : 93.5 Previous Day Price : 93.8 $$ 6. Uptrend confirmed ."
6,RELIANCE.NSE,2019-04-16,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 1345 Close Price : 1343.75 $$ 2. Small or no lower shadow  , Close Price : 1343.75 low Price : 1340 $$ 3. Long Upper Shadow  , Open Price : 1345 High Price : 1360 $$ 4. Uptrend confirmed ."
7,TATACHEM.NSE,2019-04-16,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 611.4 Close Price : 612.25 $$ 2. Small or no lower shadow  , Open Price : 611.4 low Price : 610 $$ 3. Long Upper Shadow   , Close Price : 612.25 High Price : 619.4 $$ 4. Uptrend confirmed ."
8,AJANTPHARM.NSE,2019-04-16,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 1031 Close Price : 1032.6 $$ 2. Small or no lower shadow  , Open Price : 1031 low Price : 1028.05 $$ 3. Long Upper Shadow   , Close Price : 1032.6 High Price : 1050 $$ 4. Uptrend confirmed ."
9,TORNTPOWER.NSE,2019-04-16,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 257 Close Day 2 Price : 256.95"
10,INFY.NSE,2019-04-16,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 727.9 Close Day 2 Price : 727.5 $$ 4. Uptrend confirmed"
