,Stock Ticker,Date,Finding_Type,Discription
0,HINDUNILVR.NSE,2019-04-25,BEARISH_ENGULFING, $$  Uptrend confirmed
1,SUNTV.NSE,2019-04-25,BEARISH_ENGULFING,
2,LICHSGFIN.NSE,2019-04-25,BEARISH_ENGULFING,
3,NAUKRI.NSE,2019-04-25,BEARISH_HARAMI, $$ Uptrend confirmed
4,OIL.NSE,2019-04-25,EVENING_STAR,
5,SUNPHARMA.NSE,2019-04-25,EVENING_STAR, $$ Uptrend confirmed .
6,NATIONALUM.NSE,2019-04-25,GRAVESTONE_DOJI,
7,SYNGENE.NSE,2019-04-25,IN_OUT_IN, $$ 1. IN_OUT_IN pattern breakout confirmed above buy price : 591.2
8,WIPRO.NSE,2019-04-25,IN_OUT_IN, $$ 1. IN_OUT_IN pattern breakout confirmed above buy price : 291.45
9,PRESTIGE.NSE,2019-04-25,TWIZZER_BOTTOM,
10,INFY.NSE,2019-04-25,TWIZZER_TOP,
